ECM_SEG,APPLICATION_ID,EXP_FICO,EXPERIANREPORTDATE,REASON_1,REASON_TEXT_1,REASON_2,REASON_TEXT_2,REASON_3,REASON_TEXT_3,REASON_4,REASON_TEXT_4
4. Inactive,D69E50F5-69FA-44F7-9941-A119298A74A2,,,Inactive,Inactive account,,,,,,
4. Inactive,53B258B4-A282-4429-B52E-A9C74E8B91DF,,,Inactive,Inactive account,,,,,,
4. Inactive,25433FAF-8FE4-4FC4-8BBB-1381A2A679CE,,,Inactive,Inactive account,,,,,,
4. Inactive,3EDBAAD8-5198-46FA-938E-9242B21CF8E4,,,Inactive,Inactive account,,,,,,
4. Inactive,18A39878-F921-476D-8218-468B2BDFB659,,,Inactive,Inactive account,,,,,,
3. currently DQ,E5056867-69C0-40AD-8E37-FF50A38A924C,,2025-04-12,CD,Current delinquency is being reported to the credit file,,,,,,
4. Inactive,C89F0E69-AFE9-47BF-A0A7-35327D75F858,,,Inactive,Inactive account,,,,,,
3. currently DQ,3EC57F32-E0FE-4CFE-B903-21D5758A14AA,,2025-04-26,CD,Current delinquency is being reported to the credit file,,,,,,
4. Inactive,5E661547-1BD2-4DA0-B6C4-8CECAB9662DD,,,Inactive,Inactive account,,,,,,
3. currently DQ,5F34E7E1-320C-497C-BCA8-20381F873F9A,,2025-04-23,CD,Current delinquency is being reported to the credit file,,,,,,
4. Inactive,5C1FB964-33AF-47E0-A200-4E4946BBF264,,,Inactive,Inactive account,,,,,,
4. Inactive,85E18855-F0AA-4A80-A87B-A0D344C61637,,,Inactive,Inactive account,,,,,,
4. Inactive,FADA25EC-3878-43CA-9E77-1B6E8A5E1B83,,,Inactive,Inactive account,,,,,,
4. Inactive,AEFE9D80-E689-4A1B-BD85-77082F5D3C9D,,,Inactive,Inactive account,,,,,,
4. Inactive,26ED3148-1A42-4322-A14F-2B9A4326CE6D,,,Inactive,Inactive account,,,,,,
4. Inactive,1B98B238-8FEA-4650-901C-87D12D53221D,,,Inactive,Inactive account,,,,,,
4. Inactive,C64F8FC9-19C4-419D-B906-8A95161E35F8,,,Inactive,Inactive account,,,,,,
4. Inactive,6211CD59-DDB9-4615-BF9D-33112B2D5243,,,Inactive,Inactive account,,,,,,
4. Inactive,914F7C5C-1A38-4AE9-9718-6BC32F11574E,,,Inactive,Inactive account,,,,,,
4. Inactive,8E3C9F13-206C-4D4C-9259-82F74CC02710,,,Inactive,Inactive account,,,,,,
4. Inactive,FCEDA557-4C9A-4059-809B-D34C1A751109,,,Inactive,Inactive account,,,,,,
4. Inactive,3165C381-4D1D-4EFF-B5A7-D5320B8B5146,,,Inactive,Inactive account,,,,,,
3. currently DQ,944EEA39-0DF6-406A-BD6A-A617CAB93488,,2025-04-10,CD,Current delinquency is being reported to the credit file,,,,,,
4. Inactive,62A49A1C-2C02-45C3-AD9E-29711A152357,,,Inactive,Inactive account,,,,,,
3. currently DQ,EF4C3052-9942-4A0D-A944-C6BFEA0BB9B5,,2025-04-22,CD,Current delinquency is being reported to the credit file,,,,,,
3. currently DQ,20C6EC0A-0231-4C9D-83F5-46D2A8D7DC61,,2025-04-12,CD,Current delinquency is being reported to the credit file,,,,,,
3. currently DQ,7D991135-8ABF-47FD-B9C8-3794CFFB548F,,2025-04-26,CD,Current delinquency is being reported to the credit file,,,,,,
4. Inactive,1F312D72-3DCD-4EAC-8C54-C14144E3495F,,,Inactive,Inactive account,,,,,,
4. Inactive,DEE6931B-E56D-44C8-B431-E62A3B78D855,,,Inactive,Inactive account,,,,,,
4. Inactive,32CE44C1-0A3D-4AFC-8345-03C2AD916C92,,,Inactive,Inactive account,,,,,,
4. Inactive,177C53A5-832B-435B-9CE6-28AB4087C504,,,Inactive,Inactive account,,,,,,
4. Inactive,4F6E736B-D71E-43CC-BFFD-135C69D1A337,,,Inactive,Inactive account,,,,,,
3. currently DQ,0DD71366-CA33-4CE6-90C9-4BEC85152122,,2025-04-13,CD,Current delinquency is being reported to the credit file,,,,,,
